Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds,DriverID,TeamID,TyreCode,StintNorm,LapTrend,TimeSeconds,PaceDeviation,DeltaToBest,RollingAvgDriver
0 days 00:30:34.983000,VER,1,0 days 00:01:21.722000,8.0,3.0,,,0 days 00:00:27.154000,0 days 00:00:27.599000,0 days 00:00:26.969000,0 days 00:29:40.415000,0 days 00:30:08.014000,0 days 00:30:34.983000,321.0,336.0,312.0,340.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:29:13.261000,2023-09-02 14:14:13.372,1,,False,,False,True,81.722,1,1,0,0.3333333333333333,0.34782608695652173,1834.983,1.414999999999992,1.4279999999999973,113.0435
0 days 00:32:26.924000,VER,1,0 days 00:01:51.941000,9.0,3.0,,0 days 00:32:20.416000,0 days 00:00:34.833000,0 days 00:00:34.712000,0 days 00:00:42.396000,0 days 00:31:09.816000,0 days 00:31:44.528000,0 days 00:32:26.924000,265.0,268.0,,205.0,False,HARD,9.0,False,Red Bull Racing,0 days 00:30:34.983000,2023-09-02 14:15:35.094,1,,False,,False,False,111.941,1,1,0,0.3333333333333333,0.391304347826087,1946.924,31.634,31.647000000000006,96.8315
0 days 00:44:56.180000,VER,1,0 days 00:01:21.035000,11.0,4.0,,,0 days 00:00:26.962000,0 days 00:00:27.270000,0 days 00:00:26.803000,0 days 00:44:02.107000,0 days 00:44:29.377000,0 days 00:44:56.180000,319.0,333.0,311.0,339.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:43:35.145000,2023-09-02 14:28:35.256,1,,False,,False,True,81.035,1,1,1,0.5,0.4782608695652174,2696.18,0.7279999999999944,0.7409999999999997,96.488
0 days 00:46:45.659000,VER,1,0 days 00:01:49.479000,12.0,4.0,,0 days 00:46:41.782000,0 days 00:00:35.348000,0 days 00:00:37.125000,0 days 00:00:37.006000,0 days 00:45:31.528000,0 days 00:46:08.653000,0 days 00:46:45.659000,243.0,277.0,,219.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:44:56.180000,2023-09-02 14:29:56.291,1,,False,,False,False,109.479,1,1,1,0.5,0.5217391304347826,2805.659,29.171999999999997,29.185000000000002,95.257
0 days 00:56:02.037000,VER,1,0 days 00:01:20.937000,14.0,5.0,,,0 days 00:00:26.897000,0 days 00:00:27.357000,0 days 00:00:26.683000,0 days 00:55:07.997000,0 days 00:55:35.354000,0 days 00:56:02.037000,321.0,338.0,312.0,344.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:54:41.100000,2023-09-02 14:39:41.211,1,,False,,False,True,80.937,1,1,1,0.6666666666666666,0.6086956521739131,3362.037,0.6299999999999955,0.6430000000000007,95.208
0 days 00:57:48.247000,VER,1,0 days 00:01:46.210000,15.0,5.0,,0 days 00:57:44.399000,0 days 00:00:32.734000,0 days 00:00:34.999000,0 days 00:00:38.477000,0 days 00:56:34.771000,0 days 00:57:09.770000,0 days 00:57:48.247000,271.0,269.0,,234.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:56:02.037000,2023-09-02 14:41:02.148,1,,False,,False,False,106.21,1,1,1,0.6666666666666666,0.6521739130434783,3468.247,25.90299999999999,25.915999999999997,93.5735
0 days 01:07:32.002000,VER,1,0 days 00:01:20.631000,17.0,6.0,,,0 days 00:00:26.899000,0 days 00:00:27.191000,0 days 00:00:26.541000,0 days 01:06:38.270000,0 days 01:07:05.461000,0 days 01:07:32.002000,318.0,333.0,311.0,338.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:11.371000,2023-09-02 14:51:11.482,1,,False,,False,True,80.631,1,1,2,0.8333333333333334,0.7391304347826086,4052.002,0.32399999999999807,0.3370000000000033,93.4205
0 days 01:09:05.377000,VER,1,0 days 00:01:33.375000,18.0,6.0,,0 days 01:09:01.470000,0 days 00:00:29.991000,0 days 00:00:29.930000,0 days 00:00:33.454000,0 days 01:08:01.993000,0 days 01:08:31.923000,0 days 01:09:05.377000,295.0,308.0,,262.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:32.002000,2023-09-02 14:52:32.113,1,,False,,False,False,93.375,1,1,2,0.8333333333333334,0.782608695652174,4145.377,13.067999999999998,13.081000000000003,87.003
0 days 01:15:25.466000,VER,1,0 days 00:01:20.307000,20.0,7.0,,,0 days 00:00:26.758000,0 days 00:00:27.049000,0 days 00:00:26.500000,0 days 01:14:31.917000,0 days 01:14:58.966000,0 days 01:15:25.466000,319.0,334.0,312.0,341.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:14:05.159000,2023-09-02 14:59:05.270,1,,False,,False,True,80.307,1,1,2,1.0,0.8695652173913043,4525.466,0.0,0.01300000000000523,86.84100000000001
0 days 00:21:47.595000,LEC,16,0 days 00:01:22.496000,2.0,1.0,,,0 days 00:00:27.197000,0 days 00:00:27.969000,0 days 00:00:27.330000,0 days 00:20:52.296000,0 days 00:21:20.265000,0 days 00:21:47.595000,321.0,335.0,315.0,341.0,True,HARD,2.0,True,Ferrari,0 days 00:20:25.099000,2023-09-02 14:05:25.210,1,,False,,False,True,82.496,2,0,0,0.0,0.08695652173913043,1307.595,2.134999999999991,2.201999999999998,82.496
